Peak_I30_mm/h,PropHM23,dNBR/1000,KF,Response
20.0,0.826530762,0.568273377,0.0,0
14.0,0.197754936,0.075308128,0.0,0
20.0,0.197754936,0.075308128,0.0,0
42.0,0.648962936,0.179300186,0.0,0
6.0,0.648962936,0.179300186,0.0,0
12.0,0.648962936,0.179300186,0.0,0
42.0,0.558260803,0.267483398,0.0,0
6.0,0.558260803,0.267483398,0.0,0
12.0,0.558260803,0.267483398,0.0,0
42.0,0.316887531,0.085953445,0.33,0
6.0,0.316887531,0.085953445,0.33,0
12.0,0.316887531,0.085953445,0.33,0
42.0,0.473457031,0.122578293,0.33,0
6.0,0.473457031,0.122578293,0.33,0
12.0,0.473457031,0.122578293,0.33,0
42.0,0.582965012,0.559055725,0.33,0
6.0,0.582965012,0.559055725,0.33,0
12.0,0.582965012,0.559055725,0.33,0
42.0,0.282319107,0.644972351,0.33,0
6.0,0.282319107,0.644972351,0.33,0
12.0,0.282319107,0.644972351,0.33,0
42.0,0.271075115,0.5852229,0.3299999,0
6.0,0.271075115,0.5852229,0.3299999,0
12.0,0.271075115,0.5852229,0.3299999,0
10.0,0.783512878,0.642082031,0.0,0
8.0,0.783512878,0.642082031,0.0,0
10.0,0.596927948,0.194982773,0.0,0
8.0,0.596927948,0.194982773,0.0,0
10.0,0.652231598,0.087698685,0.33,0
8.0,0.652231598,0.087698685,0.33,0
9.2,0.709199371,0.256208191,0.24,0
9.2,0.590495796,0.261222199,0.1699257,0
9.2,0.423029175,0.222962524,0.2318898,0
9.2,0.566194763,0.205984985,0.24,0
9.2,0.238090038,0.271593353,0.2399999,0
9.2,0.433811264,0.232115814,0.24,0
20.8,0.47471714,0.243100235,0.1654899,0
8.8,0.47471714,0.243100235,0.1654899,0
9.2,0.47471714,0.243100235,0.1654899,0
9.2,0.529922104,0.250732681,0.2399999,0
9.2,0.678598099,0.219746491,0.24,0
9.2,0.42501194,0.274073059,0.228868,0
9.2,0.509309464,0.215175736,0.2100161,0
20.8,0.509309464,0.215175736,0.2100161,0
8.8,0.509309464,0.215175736,0.2100161,0
15.2,0.509309464,0.215175736,0.2100161,0
9.2,0.277914829,0.226443024,0.24,0
9.2,0.544564629,0.430875977,0.2400001,0
9.2,0.813339691,0.418480682,0.24,0
9.2,0.150495148,0.111505562,0.15,0
20.8,0.150495148,0.111505562,0.15,0
8.8,0.150495148,0.111505562,0.15,0
15.2,0.150495148,0.111505562,0.15,0
9.2,0.177650414,0.174791397,0.15,0
20.8,0.177650414,0.174791397,0.15,0
8.8,0.177650414,0.174791397,0.15,0
15.2,0.177650414,0.174791397,0.15,0
20.8,0.069899225,0.124577499,0.1499999,0
8.8,0.069899225,0.124577499,0.1499999,0
