fire_name,year,fire_id,fire_segid,database,state,response,stormdate,gaugedist_m,stormstart,stormend,stormdur_h,stormaccum_mm,stormavgi_mmh,peak_i15_mmh,peak_i30_mmh,peak_i60_mmh,contributingarea_km2,prophm23,dnbr1000,kf,acc015_mm,acc030_mm,acc060_mm,geom,lon,lat,SiteID,NB,GR,GS,SH,TU,TL,dom,Fine fuel load,SAV,Packing ratio,Extinction moisture content,Igneous,Metamorphic,Sedimentary,Unconsolidated,domrt
Gladiator,2012,gld,gld_1253,Test,AZ,0,14,1822.86,2012-07-14 16:14:00,2012-07-14 18:52:00,2.83028562064702,55.64544052169995,20.9836003,50.650378918722225,38.22187244815692,31.227655829145505,0.632925,0.716361084,0.557073364,0.1300001,12.540275630465242,18.127492698962847,37.32781187014718,POINT (-112.30184437810533 34.25790861314813),-112.30184437810533,34.25790861314813,173,0.19103830402312696,0.3440134907251265,0.3428892636312535,0.08182767204689632,0.0,0.040231269573596726,GR2,1.962035934087751,1756.990768314473,0.003467355568790947,15.262060750446695,0.0,0.9999999999999974,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1253,Test,AZ,0,24,1822.86,2012-07-24 16:54:00,2012-07-24 18:10:00,1.2704729634796181,27.808149272987258,20.4908947,37.52727943011389,25.033153237512497,22.029442649666187,0.632925,0.716361084,0.557073364,0.1300001,10.008941911744056,12.681405674760088,23.0446255150615,POINT (-112.30184437810533 34.25790861314813),-112.30184437810533,34.25790861314813,173,0.19103830402312696,0.3440134907251265,0.3428892636312535,0.08182767204689632,0.0,0.040231269573596726,GR2,1.962035934087751,1756.990768314473,0.003467355568790947,15.262060750446695,0.0,0.9999999999999974,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1253,Test,AZ,0,21,1822.86,2012-08-21 12:42:00,2012-08-21 17:08:00,4.850619968577603,27.21106829797502,6.37861011,14.322836420105032,11.440975534565395,10.702110890745544,0.632925,0.716361084,0.557073364,0.1300001,3.54779396111436,5.385481884418228,10.801502249302775,POINT (-112.30184437810533 34.25790861314813),-112.30184437810533,34.25790861314813,173,0.19103830402312696,0.3440134907251265,0.3428892636312535,0.08182767204689632,0.0,0.040231269573596726,GR2,1.962035934087751,1756.990768314473,0.003467355568790947,15.262060750446695,0.0,0.9999999999999974,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1253,Test,AZ,0,2,1822.86,2012-09-02 12:18:00,2012-09-02 15:00:00,2.773766376001025,17.38618131601611,7.04220659,38.479612915032185,20.331433257289984,12.097127999194527,0.632925,0.716361084,0.557073364,0.1300001,9.86448407766442,10.455529858654563,12.556302279124294,POINT (-112.30184437810533 34.25790861314813),-112.30184437810533,34.25790861314813,173,0.19103830402312696,0.3440134907251265,0.3428892636312535,0.08182767204689632,0.0,0.040231269573596726,GR2,1.962035934087751,1756.990768314473,0.003467355568790947,15.262060750446695,0.0,0.9999999999999974,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1411,Test,AZ,0,14,2405.7,2012-07-14 06:57:00,2012-07-14 09:48:00,3.1315304240279733,39.40579529588093,13.9020021,35.855516454197534,31.750401374902967,22.48959312033794,2.3462701,0.640942688,0.553901672,0.1299998,8.073096560660392,15.929805404088478,24.0399278532849,POINT (-112.2992350406472 34.2541939612872),-112.2992350406472,34.2541939612872,174,0.14679292338866806,0.19928298651702908,0.3625204582651391,0.1845140674927909,0.00900163666121113,0.09788792767516172,GS2,2.3606713861612243,1742.099703128568,0.006626252569079698,16.103219913222198,0.10735975778607638,0.8926402422139252,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1411,Test,AZ,1,14,2405.7,2012-07-14 16:14:00,2012-07-14 18:52:00,2.644141101370907,56.12208622319202,20.9836003,45.18220760820127,35.26390428641354,33.81733557482022,2.3462701,0.640942688,0.553901672,0.1299998,11.917629476763794,17.855196847434193,37.36130542836294,POINT (-112.2992350406472 34.2541939612872),-112.2992350406472,34.2541939612872,174,0.14679292338866806,0.19928298651702908,0.3625204582651391,0.1845140674927909,0.00900163666121113,0.09788792767516172,GS2,2.3606713861612243,1742.099703128568,0.006626252569079698,16.103219913222198,0.10735975778607638,0.8926402422139252,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1411,Test,AZ,0,24,2405.7,2012-07-24 16:54:00,2012-07-24 18:10:00,1.2666593353441915,25.61209802099332,20.4908947,38.41701433429938,29.591421104132518,22.827792445658712,2.3462701,0.640942688,0.553901672,0.1299998,8.513094350601246,12.503183611252714,18.98718424706997,POINT (-112.2992350406472 34.2541939612872),-112.2992350406472,34.2541939612872,174,0.14679292338866806,0.19928298651702908,0.3625204582651391,0.1845140674927909,0.00900163666121113,0.09788792767516172,GS2,2.3606713861612243,1742.099703128568,0.006626252569079698,16.103219913222198,0.10735975778607638,0.8926402422139252,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1411,Test,AZ,0,21,2405.7,2012-08-21 12:42:00,2012-08-21 17:08:00,4.106989122121942,29.740038908201274,6.37861011,14.089638500216669,10.867236119549485,10.225625404757906,2.3462701,0.640942688,0.553901672,0.1299998,3.669714981824208,4.9619795270686256,9.328658413622932,POINT (-112.2992350406472 34.2541939612872),-112.2992350406472,34.2541939612872,174,0.14679292338866806,0.19928298651702908,0.3625204582651391,0.1845140674927909,0.00900163666121113,0.09788792767516172,GS2,2.3606713861612243,1742.099703128568,0.006626252569079698,16.103219913222198,0.10735975778607638,0.8926402422139252,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_1411,Test,AZ,0,2,2405.7,2012-09-02 12:18:00,2012-09-02 15:00:00,2.622080792331296,20.67916773550948,7.04220659,34.29537882408136,21.801089414005986,12.288866693508325,2.3462701,0.640942688,0.553901672,0.1299998,9.552286113460381,9.585145630803833,12.923312695365224,POINT (-112.2992350406472 34.2541939612872),-112.2992350406472,34.2541939612872,174,0.14679292338866806,0.19928298651702908,0.3625204582651391,0.1845140674927909,0.00900163666121113,0.09788792767516172,GS2,2.3606713861612243,1742.099703128568,0.006626252569079698,16.103219913222198,0.10735975778607638,0.8926402422139252,0.0,0.0,Metamorphic
Gladiator,2012,gld,gld_2018,Test,AZ,0,14,2449.71,2012-07-14 06:53:00,2012-07-14 09:33:00,2.4079482778016708,55.84707204199089,19.5614893,49.508651956826,43.34622817778008,31.076438299340154,0.767615,0.224442616,0.361215149,0.1300001,13.813681458666172,19.93553829786399,26.776659804097623,POINT (-112.31204110708555 34.227387724109136),-112.31204110708555,34.227387724109136,175,0.10767354180527833,0.1467065868263473,0.34176092259924595,0.0932579285872699,0.008871146595697495,0.301729873586161,GS2,2.3087237479806144,1694.876102895489,0.011143156455822046,19.047471107244935,0.8574110627105542,0.1425889372894436,0.0,0.0,Igneous
