Fire Name,Year,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Response,StormDate,GaugeDist_m,StormStart,StormEnd,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm
Cerro Grande,2000,cg,cg_2382,Test,NM,13,378054.6251,3975617.907,1,2000-07-16 00:00:00,1305.86,2000-07-16 12:24:00,2000-07-16 13:42:00,1.3,23.62,18.17,35.56,30.99,23.37,0.1764571,0.751629105,0.638052307,0.0,8.89,15.495,23.37
Cerro Grande,2000,cg,cg_2462,Test,NM,13,378414.6251,3975397.907,1,2000-07-16 00:00:00,926.249994,2000-07-16 12:24:00,2000-07-16 13:42:00,1.3,23.62,18.17,35.56,30.99,23.37,0.2577889,0.825321198,0.704229126,0.0,8.89,15.495,23.37
Cerro Grande,2000,cg,cg_2533,Test,NM,13,378604.6251,3975215.407,1,2000-07-16 00:00:00,815.78773,2000-07-16 12:09:00,2000-07-16 13:30:00,1.367,25.65,18.77,34.54,30.99,25.15,0.0418733,0.886211472,0.648581848,0.0,8.635,15.495,25.15
Cerro Grande,2000,cg,cg_2608,Test,NM,13,378974.6251,3975097.907,1,2000-07-16 00:00:00,548.249262,2000-07-16 12:09:00,2000-07-16 13:30:00,1.367,25.65,18.77,34.54,30.99,25.15,0.1013286,0.804444962,0.578366455,0.0,8.635,15.495,25.15
Cerro Grande,2000,cg,cg_2620,Test,NM,13,379224.6251,3974952.907,1,2000-07-16 00:00:00,563.999779,2000-07-16 12:09:00,2000-07-16 13:30:00,1.367,25.65,18.77,34.54,30.99,25.15,0.23008,0.654855576,0.738143189,0.0,8.635,15.495,25.15
Coal Seam,2002,cs,cs_1019,Test,CO,13,297511.963,4380790.418,0,2002-08-05 00:00:00,2418.05,2002-08-05 06:15:00,2002-08-05 22:44:00,16.483,10.16,0.62,27.43,14.22,7.37,0.03144,0.321138954,0.456557037,0.33,6.8575,7.11,7.37
Coal Seam,2002,cs,cs_1019,Test,CO,13,297511.963,4380790.418,0,2002-09-11 00:00:00,2418.05,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.03144,0.321138954,0.456557037,0.33,2.0325,2.03,2.03
Coal Seam,2002,cs,cs_1019,Test,CO,13,297511.963,4380790.418,0,2002-09-12 00:00:00,2418.05,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.03144,0.321138954,0.456557037,0.33,2.54,3.05,3.05
Coal Seam,2002,cs,cs_1140,Test,CO,13,297741.963,4380490.418,1,2002-08-05 00:00:00,2642.46,2002-08-05 06:15:00,2002-08-05 22:44:00,16.483,10.16,0.62,27.43,14.22,7.37,0.12666,0.284158421,0.428611572,0.33,6.8575,7.11,7.37
Coal Seam,2002,cs,cs_1140,Test,CO,13,297741.963,4380490.418,0,2002-09-11 00:00:00,2642.46,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.12666,0.284158421,0.428611572,0.33,2.0325,2.03,2.03
Coal Seam,2002,cs,cs_1140,Test,CO,13,297741.963,4380490.418,0,2002-09-12 00:00:00,2642.46,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.12666,0.284158421,0.428611572,0.33,2.54,3.05,3.05
Coal Seam,2002,cs,cs_1152,Test,CO,13,297781.963,4380415.418,1,2002-08-05 00:00:00,2503.87,2002-08-05 06:15:00,2002-08-05 22:44:00,16.483,10.16,0.62,27.43,14.22,7.37,0.167619,0.443624802,0.473171967,0.33,6.8575,7.11,7.37
Coal Seam,2002,cs,cs_1152,Test,CO,13,297781.963,4380415.418,0,2002-09-11 00:00:00,2503.87,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.167619,0.443624802,0.473171967,0.33,2.0325,2.03,2.03
Coal Seam,2002,cs,cs_1152,Test,CO,13,297781.963,4380415.418,0,2002-09-12 00:00:00,2503.87,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.167619,0.443624802,0.473171967,0.33,2.54,3.05,3.05
Coal Seam,2002,cs,cs_1226,Test,CO,13,298221.963,4380240.418,0,2002-09-11 00:00:00,3059.44,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.0443857,0.964795837,0.99743866,0.33,2.0325,2.03,2.03
Coal Seam,2002,cs,cs_1226,Test,CO,13,298221.963,4380240.418,0,2002-09-12 00:00:00,3059.44,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.0443857,0.964795837,0.99743866,0.33,2.54,3.05,3.05
Coal Seam,2002,cs,cs_1270,Test,CO,13,297999.463,4380317.918,0,2002-09-11 00:00:00,2730.95,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.1702333,0.338310471,0.375273285,0.33,2.0325,2.03,2.03
Coal Seam,2002,cs,cs_1270,Test,CO,13,297999.463,4380317.918,0,2002-09-12 00:00:00,2730.95,2002-09-12 05:11:00,2002-09-13 06:32:00,25.35,7.62,0.3,10.16,6.1,3.05,0.1702333,0.338310471,0.375273285,0.33,2.54,3.05,3.05
Coal Seam,2002,cs,cs_1288,Test,CO,13,298621.963,4380325.418,0,2002-09-11 00:00:00,3448.14,2002-09-10 13:43:00,2002-09-11 20:26:00,30.717,5.84,0.19,8.13,4.06,2.03,0.1739,0.887678452,0.860411011,0.33,2.0325,2.03,2.03
